date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:38	36910/36910	---M--	200	added ('OK')	text/html	etag:%222ca0172-8eea-54ae7f5442b4b-gzip%22	http://tahsinscreation.com/mysite/experta/index-particle.html	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/index-particle.html	(from )
18:36:38	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202017%2010:36:38%20GMT	http://tahsinscreation.com/robots.txt		(from )
18:36:40	121200/121200	---M--	200	added ('OK')	text/css	etag:%222ca0179-1d970-54ae7f5ac7c4e%22	http://tahsinscreation.com/mysite/experta/css/bootstrap.min.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/bootstrap.min.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:42	31000/31000	---M--	200	added ('OK')	text/css	etag:%222ca017b-7918-54ae7f5ef08ab%22	http://tahsinscreation.com/mysite/experta/css/font-awesome.min.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/font-awesome.min.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:42	3891/3891	---M--	200	added ('OK')	text/css	etag:%222ca017c-f33-54ae7f5c65dc6%22	http://tahsinscreation.com/mysite/experta/css/lightbox.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/lightbox.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:42	1476/1476	---M--	200	added ('OK')	text/css	etag:%222ca017d-5c4-54ae7f5d6d103%22	http://tahsinscreation.com/mysite/experta/css/owl.carousel.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/owl.carousel.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:42	1665/1665	---M--	200	added ('OK')	text/css	etag:%222ca017e-681-54ae7f5f47b4c%22	http://tahsinscreation.com/mysite/experta/css/owl.theme.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/owl.theme.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:43	2505/2505	---M--	200	added ('OK')	text/css	etag:%222ca01f6-9c9-54ae7f63aa96a%22	http://tahsinscreation.com/mysite/experta/css/slicknav.min.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/slicknav.min.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:43	2725/2725	---M--	200	added ('OK')	text/css	etag:%222ca0181-aa5-54ae7f616e09c%22	http://tahsinscreation.com/mysite/experta/css/reset.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/reset.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:43	12536/12536	---M--	200	added ('OK')	text/css	etag:%222ca01f7-30f8-54ae7f655e2a8%22	http://tahsinscreation.com/mysite/experta/css/style.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/style.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:44	3850/3850	---M--	200	added ('OK')	text/css	etag:%222ca01f5-f0a-54ae7f634969e%22	http://tahsinscreation.com/mysite/experta/css/responsive.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/responsive.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:44	52789/52789	---M--	200	added ('OK')	text/css	etag:%222ca017a-ce35-54ae7f5b18576%22	http://tahsinscreation.com/mysite/experta/css/animate.min.css	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/css/animate.min.css	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:45	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%222ca0229-47e-54ae7ff5eee35%22	http://tahsinscreation.com/mysite/experta/images/favicon.ico	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/favicon.ico	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:45	10164/10164	---M--	200	added ('OK')	application/javascript	etag:%222ca0242-27b4-54ae8086ff4de%22	http://tahsinscreation.com/mysite/experta/js/respond.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/respond.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:46	3064/3064	---M--	200	added ('OK')	text/html	etag:%222ca0173-ab4-54ae7f515f26c-gzip%22	http://tahsinscreation.com/mysite/experta/index.html	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/index.html	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:46	1569/1569	---M--	200	added ('OK')	image/png	etag:%222ca022c-621-54ae7ffcdf617%22	http://tahsinscreation.com/mysite/experta/images/logo.png	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/logo.png	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:46	26442/26442	---M--	200	added ('OK')	binary/octet-stream	etag:%22998b0f40556aeee0d97cc4f9346ef327%22	http://d36mw5gp02ykm5.cloudfront.net/yc/adrns_y.js?v=6.11.135	C:/My%20Web%20Sites/Portfolio/d36mw5gp02ykm5.cloudfront.net/yc/adrns_y75e9.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:54	43108/43108	---M--	200	added ('OK')	image/jpeg	etag:%222ca024d-a864-54ae80a8ac851%22	http://tahsinscreation.com/mysite/experta/images/portfolio/img2.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/portfolio/img2.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:56	59482/59482	---M--	200	added ('OK')	image/jpeg	etag:%222ca024e-e85a-54ae80a97dc35%22	http://tahsinscreation.com/mysite/experta/images/portfolio/img1.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/portfolio/img1.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:58	68786/68786	---M--	200	added ('OK')	image/jpeg	etag:%222ca024f-10cb2-54ae80b115fe1%22	http://tahsinscreation.com/mysite/experta/images/portfolio/img3.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/portfolio/img3.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:36:59	28680/28680	---M--	200	added ('OK')	image/jpeg	etag:%222ca0250-7008-54ae80ae10031%22	http://tahsinscreation.com/mysite/experta/images/portfolio/img4.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/portfolio/img4.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:04	51107/51107	---M--	200	added ('OK')	image/jpeg	etag:%222ca0251-c7a3-54ae80b292e0f%22	http://tahsinscreation.com/mysite/experta/images/portfolio/img5.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/portfolio/img5.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:05	130368/130368	---M--	200	added ('OK')	image/jpeg	etag:%222ca0222-1fd40-54ae7fb065d2e%22	http://tahsinscreation.com/mysite/experta/images/about.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/about.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:06	43399/43399	---M--	200	added ('OK')	image/jpeg	etag:%222ca0252-a987-54ae80b52f239%22	http://tahsinscreation.com/mysite/experta/images/portfolio/img6.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/portfolio/img6.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:07	6285/6285	---M--	200	added ('OK')	image/jpeg	etag:%222ca0249-188d-54ae809fee148%22	http://tahsinscreation.com/mysite/experta/images/client/img1.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/client/img1.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:08	4832/4832	---M--	200	added ('OK')	image/jpeg	etag:%222ca024a-12e0-54ae80a1d4715%22	http://tahsinscreation.com/mysite/experta/images/client/img2.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/client/img2.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:10	5146/5146	---M--	200	added ('OK')	image/jpeg	etag:%222ca024b-141a-54ae80a24a5ef%22	http://tahsinscreation.com/mysite/experta/images/client/img3.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/client/img3.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:14	60224/60224	---M--	200	added ('OK')	image/jpeg	etag:%222ca0246-eb40-54ae809358a93%22	http://tahsinscreation.com/mysite/experta/images/blog/blog-img2.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/blog/blog-img2.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:14	99564/99564	---M--	200	added ('OK')	image/jpeg	etag:%222ca0245-184ec-54ae8095b570a%22	http://tahsinscreation.com/mysite/experta/images/blog/blog-img1.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/blog/blog-img1.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:16	8415/8415	---M--	200	added ('OK')	application/javascript	etag:%222ca0238-20df-54ae8076394ca%22	http://tahsinscreation.com/mysite/experta/js/jquery.slicknav.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/jquery.slicknav.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:17	74920/74920	---M--	200	added ('OK')	image/jpeg	etag:%222ca0247-124a8-54ae809fef0e8%22	http://tahsinscreation.com/mysite/experta/images/blog/blog-img3.jpg	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/images/blog/blog-img3.jpg	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:18	23364/23364	---M--	200	added ('OK')	application/javascript	etag:%222ca023f-5b44-54ae808247f19%22	http://tahsinscreation.com/mysite/experta/js/particles.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/particles.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:20	23890/23890	---M--	200	added ('OK')	application/javascript	etag:%222ca023e-5d52-54ae807f6657b%22	http://tahsinscreation.com/mysite/experta/js/owl.carousel.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/owl.carousel.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:23	12130/12130	---M--	200	added ('OK')	application/javascript	etag:%222ca0243-2f62-54ae808838cd9%22	http://tahsinscreation.com/mysite/experta/js/typed.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/typed.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:23	85578/85578	---M--	200	added ('OK')	application/javascript	etag:%222ca0235-14e4a-54ae807204132%22	http://tahsinscreation.com/mysite/experta/js/jquery-2.2.4.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/jquery-2.2.4.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:23	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%222ca0234-90b5-54ae8067d7277%22	http://tahsinscreation.com/mysite/experta/js/bootstrap.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/bootstrap.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:24	1999/1999	---M--	200	added ('OK')	application/javascript	etag:%222ca0240-7cf-54ae808351966%22	http://tahsinscreation.com/mysite/experta/js/particlesReset.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/particlesReset.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:25	18250/18250	---M--	200	added ('OK')	application/javascript	etag:%222ca023b-474a-54ae807c9befc%22	http://tahsinscreation.com/mysite/experta/js/lightbox.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/lightbox.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:26	9028/9028	---M--	200	added ('OK')	application/javascript	etag:%222ca023a-2344-54ae80792e305%22	http://tahsinscreation.com/mysite/experta/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/jquery.waypoints.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:26	2546/2546	---M--	200	added ('OK')	application/javascript	etag:%222ca0237-9f2-54ae8074ee38a%22	http://tahsinscreation.com/mysite/experta/js/jquery.singlePageNav.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/jquery.singlePageNav.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:26	12597/12597	---M--	200	added ('OK')	application/javascript	etag:%222ca0239-3135-54ae80772b428%22	http://tahsinscreation.com/mysite/experta/js/jquery.stellar.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/jquery.stellar.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:27	18028/18028	---M--	200	added ('OK')	text/html	etag:%222ca021b-466c-54ae7fa4714df%22	http://tahsinscreation.com/mysite/experta/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/fonts/glyphicons-halflings-regular.html	(from http://tahsinscreation.com/mysite/experta/css/bootstrap.min.css)
18:37:28	7799/7799	---M--	200	added ('OK')	application/javascript	etag:%222ca023c-1e77-54aed8262fd55%22	http://tahsinscreation.com/mysite/experta/js/main.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/main.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:30	86207/86207	---M--	200	added ('OK')	application/javascript	etag:%222ca023d-150bf-54ae80859d468%22	http://tahsinscreation.com/mysite/experta/js/mixitup.min.js	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/js/mixitup.min.js	(from http://tahsinscreation.com/mysite/experta/index-particle.html)
18:37:30	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ca0217-4e9f-54ae7f97c85a4%22	http://tahsinscreation.com/mysite/experta/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/fonts/glyphicons-halflings-regular.eot	(from http://tahsinscreation.com/mysite/experta/css/bootstrap.min.css)
18:37:30	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ca0217-4e9f-54ae7f97c85a4%22	http://tahsinscreation.com/mysite/experta/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Portfolio/tahsinscreation.com/mysite/experta/fonts/glyphicons-halflings-regulard41d.eot	(from http://tahsinscreation.com/mysite/experta/css/bootstrap.min.css)
